"","POSIXct","inds","stat","statArg","variable","value","variableGroup","fileGroup"
"188",2009-10-08 19:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"189",2009-10-08 20:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"190",2009-10-08 21:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"191",2009-10-08 22:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"192",2009-10-08 23:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"193",2009-10-09 00:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"194",2009-10-09 01:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"195",2009-10-09 02:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"196",2009-10-09 03:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"197",2009-10-09 04:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"198",2009-10-09 05:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"199",2009-10-09 06:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"200",2009-10-09 07:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"201",2009-10-09 08:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"202",2009-10-09 09:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"203",2009-10-09 10:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"204",2009-10-09 11:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"205",2009-10-09 12:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"206",2009-10-09 13:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"207",2009-10-09 14:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"208",2009-10-09 15:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"209",2009-10-09 16:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"210",2009-10-09 17:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"211",2009-10-09 18:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"212",2009-10-09 19:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"213",2009-10-09 20:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"214",2009-10-09 21:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"215",2009-10-09 22:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"216",2009-10-09 23:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"217",2009-10-10 00:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"218",2009-10-10 01:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"219",2009-10-10 02:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"220",2009-10-10 03:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"221",2009-10-10 04:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"222",2009-10-10 05:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"223",2009-10-10 06:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"224",2009-10-10 07:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"225",2009-10-10 08:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"226",2009-10-10 09:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"227",2009-10-10 10:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"228",2009-10-10 11:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"229",2009-10-10 12:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"230",2009-10-10 13:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"231",2009-10-10 14:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"232",2009-10-10 15:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"233",2009-10-10 16:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"234",2009-10-10 17:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"235",2009-10-10 18:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"236",2009-10-10 19:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"237",2009-10-10 20:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"238",2009-10-10 21:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"239",2009-10-10 22:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"240",2009-10-10 23:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"241",2009-10-11 00:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"242",2009-10-11 01:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"243",2009-10-11 02:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"244",2009-10-11 03:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"245",2009-10-11 04:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"246",2009-10-11 05:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"247",2009-10-11 06:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
"248",2009-10-11 07:00:00,"19:23,45:49,1:1","basAvg","-","SNEQV",0,"SWE","lsm"
